Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006881	0.041671	10.505527	-153.551235	2201.336644	-1748.400076
1.02	0.006951	0.045424	10.484184	-129.689950	1159.813937	-2217.954212
1.53	0.006890	0.048616	10.470724	-87.708654	-117.008596	-2514.072546
2.04	0.006927	0.051261	10.460092	-48.826810	-1257.264151	-2747.978463
2.55	0.006930	0.053477	10.450283	-27.170739	-1982.007937	-2963.778934
3.06	0.006909	0.055293	10.445951	-21.754546	-2206.588604	-3059.075722
3.57	0.006909	0.056830	10.443040	-27.684069	-2137.228713	-3123.116819
4.08	0.006876	0.058093	10.442052	-29.391352	-2120.715986	-3144.854718
4.59	0.006907	0.059155	10.441843	-11.128828	-2545.924524	-3149.444423
5.10	0.006902	0.060000	10.440702	13.832584	-3146.846742	-3174.550312
5.61	0.006973	0.060683	10.440301	32.357279	-3582.542574	-3183.386993
6.12	0.006931	0.061151	10.441174	32.452014	-3564.575523	-3164.167875
6.63	0.006973	0.061503	10.441913	19.811365	-3256.552280	-3147.913499
7.14	0.006911	0.061733	10.440994	3.335325	-2898.479285	-3168.136099
7.65	0.006909	0.061922	10.441928	-1.929330	-2755.745793	-3147.586201
8.16	0.006903	0.062046	10.441640	7.372915	-2976.525761	-3153.925337
8.67	0.006926	0.062160	10.439944	26.977020	-3466.919566	-3191.236393
9.18	0.006924	0.062203	10.439457	42.420930	-3833.658723	-3201.944590
9.69	0.006964	0.062220	10.440052	49.982011	-3993.999126	-3188.863584
10.20	0.006896	0.062158	10.440340	47.126135	-3921.618584	-3182.530371
10.71	0.006888	0.062123	10.440129	44.373946	-3863.115970	-3187.158565
11.22	0.006868	0.062081	10.438065	43.026501	-3879.692703	-3232.559156
11.73	0.006872	0.062089	10.437110	49.161482	-4042.950389	-3253.576097
12.24	0.006874	0.062099	10.438138	55.636589	-4168.289850	-3230.953964
12.75	0.006923	0.062138	10.439246	59.317131	-4227.471510	-3206.588208
13.26	0.006889	0.062111	10.439315	55.254669	-4132.360872	-3205.067539
13.77	0.006901	0.062067	10.440116	50.704327	-4009.132367	-3187.438233
14.28	0.006860	0.061987	10.440443	42.830067	-3820.337122	-3180.252977
14.79	0.006859	0.061952	10.440752	37.495888	-3690.428005	-3173.462941
15.30	0.006838	0.061920	10.440467	29.389746	-3510.388945	-3179.722053
15.81	0.006848	0.061946	10.439425	24.615572	-3424.532089	-3202.656780
16.32	0.006812	0.061966	10.439483	21.271875	-3346.226953	-3201.383909
16.83	0.006763	0.061984	10.440638	22.271161	-3342.583067	-3175.965099
17.34	0.006658	0.061954	10.439663	24.357328	-3413.093453	-3197.416070
17.85	0.006558	0.061938	10.439034	29.896460	-3555.115163	-3211.259907
18.36	0.006443	0.061893	10.438348	31.884998	-3616.707687	-3226.347872
18.87	0.006366	0.061874	10.437809	31.269657	-3614.977448	-3238.209403
19.38	0.006276	0.061842	10.439652	29.022613	-3520.747521	-3197.664870
19.89	0.006237	0.061853	10.441128	31.905049	-3553.056426	-3165.190328
20.40	0.006182	0.061836	10.441741	38.125761	-3682.115584	-3151.702579
20.91	0.006168	0.061833	10.442356	45.630724	-3840.697832	-3138.176751
21.42	0.006107	0.061803	10.441995	51.130088	-3975.599461	-3146.101934
21.93	0.006106	0.061800	10.441262	53.819401	-4054.410183	-3162.226416
22.44	0.006061	0.061787	10.441618	47.229632	-3894.510299	-3154.398992
22.95	0.006064	0.061809	10.442638	41.700623	-3743.719593	-3131.968109
23.46	0.006046	0.061809	10.441908	37.919402	-3673.501208	-3148.016623
23.97	0.006067	0.061843	10.441658	38.279186	-3687.545303	-3153.513027
24.48	0.006054	0.061826	10.441418	38.464455	-3697.352098	-3158.799518
24.99	0.006083	0.061816	10.441979	41.173598	-3746.792212	-3146.471801
25.50	0.006048	0.061763	10.441482	38.180366	-3689.343447	-3157.398233
26.02	0.006063	0.061718	10.440965	34.838627	-3624.328706	-3168.760138
26.53	0.006037	0.061653	10.440873	29.625110	-3506.439837	-3170.786708
27.04	0.006048	0.061630	10.440310	29.099785	-3507.340553	-3183.181293
27.55	0.006051	0.061606	10.440257	29.839560	-3525.600766	-3184.355411
28.06	0.006083	0.061634	10.441446	34.139008	-3597.129866	-3158.177649
28.57	0.006073	0.061645	10.442047	36.929410	-3647.520287	-3144.972102
29.08	0.006090	0.061678	10.441252	40.537892	-3748.906102	-3162.447439
29.59	0.006060	0.061677	10.440796	39.891489	-3744.556570	-3172.492489
30.10	0.006064	0.061697	10.440764	39.777195	-3742.659241	-3173.192356
30.61	0.006038	0.061675	10.441011	38.873628	-3716.169031	-3167.764237
31.12	0.006049	0.061662	10.441831	40.563383	-3736.143064	-3149.712976
31.63	0.006043	0.061624	10.441843	41.159001	-3749.571799	-3149.443800
32.14	0.006068	0.061577	10.442055	41.910314	-3761.995898	-3144.797455
32.65	0.006044	0.061520	10.442659	40.694931	-3720.069470	-3131.491689
33.16	0.006055	0.061447	10.443296	39.231004	-3671.689868	-3117.487872
33.67	0.006024	0.061417	10.443786	36.903095	-3606.810654	-3106.716808
34.18	0.006039	0.061381	10.443800	34.288799	-3546.293625	-3106.395502
34.69	0.006026	0.061403	10.444035	37.915067	-3624.362198	-3101.237859
35.20	0.006056	0.061389	10.444346	34.067692	-3528.617967	-3094.389813
35.71	0.006053	0.061409	10.444391	37.492605	-3606.429521	-3093.408467
36.22	0.006075	0.061384	10.444902	35.331571	-3544.881467	-3082.150661
36.73	0.006056	0.061379	10.445213	35.102180	-3532.436808	-3075.316747
37.24	0.006065	0.061341	10.444159	36.029126	-3578.083473	-3098.504931
37.75	0.006046	0.061325	10.444247	35.953646	-3574.306247	-3096.559248
38.26	0.006057	0.061290	10.444452	37.520132	-3605.640233	-3092.051096
38.77	0.006051	0.061260	10.444325	35.656705	-3565.686293	-3094.857012
39.28	0.006078	0.061221	10.444108	35.693059	-3571.525935	-3099.629211
39.79	0.006064	0.061174	10.444540	31.583532	-3466.948366	-3090.111455
40.30	0.006071	0.061135	10.444646	33.563700	-3510.093840	-3087.786495
