Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006919	0.036365	10.504652	-152.627054	2111.530638	-1767.659792
1.02	0.006933	0.039671	10.476206	-129.959913	933.691849	-2393.468231
1.53	0.007026	0.042495	10.455219	-93.414083	-391.601139	-2855.177820
2.04	0.007023	0.044820	10.442750	-54.089503	-1584.416285	-3129.498759
2.55	0.006992	0.046738	10.436990	-28.050744	-2316.657367	-3256.213371
3.06	0.006885	0.048297	10.433669	-16.741411	-2653.583174	-3329.271852
3.57	0.006848	0.049599	10.431582	-21.761825	-2586.162388	-3375.199929
4.08	0.006825	0.050686	10.431104	-25.814447	-2503.894916	-3385.714353
4.59	0.006861	0.051631	10.430986	-16.167754	-2728.686163	-3388.316284
5.10	0.006921	0.052402	10.431370	5.434550	-3217.093735	-3379.855089
5.61	0.006966	0.053024	10.431816	24.651083	-3649.163562	-3370.041132
6.12	0.006961	0.053454	10.430767	33.375312	-3874.184988	-3393.118634
6.63	0.006911	0.053770	10.430299	26.750089	-3732.484302	-3403.430040
7.14	0.006851	0.053972	10.430623	12.161029	-3389.165282	-3396.291145
7.65	0.006835	0.054160	10.430480	0.396063	-3121.645975	-3399.444938
8.16	0.006853	0.054322	10.430324	4.096244	-3210.422957	-3402.879070
8.67	0.006920	0.054483	10.430596	20.478072	-3581.237193	-3396.879168
9.18	0.007003	0.054579	10.430860	41.039189	-4048.479034	-3391.090837
9.69	0.007024	0.054600	10.430916	53.864506	-4342.421539	-3389.858478
10.20	0.006985	0.054526	10.430676	55.521522	-4386.091672	-3395.129933
10.71	0.006904	0.054403	10.430469	47.720181	-4211.270225	-3399.673143
11.22	0.006823	0.054282	10.429785	41.989847	-4095.141438	-3414.727239
11.73	0.006798	0.054217	10.429211	44.627492	-4169.102262	-3427.359953
12.24	0.006833	0.054202	10.429401	53.832515	-4376.610591	-3423.174068
12.75	0.006901	0.054237	10.429431	58.852629	-4491.486434	-3422.520192
13.26	0.006955	0.054231	10.429645	56.915308	-4441.946931	-3417.805016
13.77	0.006943	0.054190	10.429319	48.744553	-4261.389290	-3424.988231
14.28	0.006874	0.054088	10.430508	40.010435	-4032.895616	-3398.815691
14.79	0.006810	0.054023	10.430796	33.830614	-3884.013450	-3392.496268
15.30	0.006769	0.054001	10.430732	30.767035	-3814.949149	-3393.887281
15.81	0.006784	0.054085	10.429755	29.031769	-3797.551640	-3415.395660
16.32	0.006813	0.054193	10.429897	26.281469	-3730.958498	-3412.264795
16.83	0.006832	0.054300	10.430051	22.074307	-3630.555362	-3408.872969
17.34	0.006762	0.054309	10.430408	21.646104	-3612.465124	-3401.019346
17.85	0.006623	0.054254	10.430651	25.242741	-3689.659154	-3395.678103
18.36	0.006461	0.054140	10.430198	31.584251	-3846.085660	-3405.643659
18.87	0.006321	0.054051	10.430589	37.353439	-3969.881483	-3397.050017
19.38	0.006239	0.053992	10.429517	37.060841	-3987.868827	-3420.633266
19.89	0.006218	0.053993	10.430562	37.499991	-3973.858415	-3397.625555
20.40	0.006220	0.053992	10.430963	31.987956	-3837.738994	-3388.816956
20.91	0.006214	0.053983	10.430086	37.456515	-3983.835396	-3408.097336
21.42	0.006165	0.053934	10.431075	44.622288	-4125.996004	-3386.354939
21.93	0.006094	0.053870	10.432204	50.326642	-4231.268184	-3361.515160
22.44	0.006039	0.053799	10.433239	57.034256	-4361.792509	-3338.733371
22.95	0.006006	0.053767	10.433568	45.460644	-4087.793697	-3331.504462
23.46	0.006015	0.053757	10.433911	41.140646	-3980.435004	-3323.955443
23.97	0.006070	0.053800	10.434805	32.727705	-3766.149184	-3304.283241
24.48	0.006104	0.053835	10.434441	30.505443	-3723.387409	-3312.290269
24.99	0.006132	0.053869	10.433942	32.288643	-3775.950149	-3323.273601
25.50	0.006110	0.053855	10.433737	38.913861	-3933.181186	-3327.776791
26.02	0.006071	0.053846	10.433679	38.138439	-3916.679161	-3329.062579
26.53	0.006039	0.053817	10.433970	36.518432	-3872.671655	-3322.656640
27.04	0.006032	0.053833	10.433628	35.180532	-3849.757552	-3330.177128
27.55	0.006050	0.053861	10.433879	27.622323	-3669.992294	-3324.665588
28.06	0.006105	0.053925	10.434206	31.542272	-3752.675497	-3317.461042
28.57	0.006125	0.053949	10.434119	31.954505	-3764.190113	-3319.392834
29.08	0.006124	0.053943	10.433558	37.762570	-3910.812667	-3331.720056
29.59	0.006098	0.053887	10.432884	43.386685	-4055.817475	-3346.543354
30.10	0.006049	0.053824	10.432603	46.037480	-4123.337809	-3352.743682
30.61	0.006021	0.053758	10.433508	40.344356	-3971.406431	-3332.828420
