Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007252	0.043130	10.507259	-150.755041	2176.897640	-1710.312150
1.02	0.007358	0.047002	10.480881	-127.341357	1029.581350	-2290.611993
1.53	0.007305	0.050254	10.459081	-92.293426	-279.988086	-2770.214536
2.04	0.007352	0.052979	10.446734	-54.838543	-1426.950919	-3041.852603
2.55	0.007304	0.055218	10.440072	-29.489658	-2164.128455	-3188.424772
3.06	0.007255	0.057101	10.436894	-16.996111	-2525.001536	-3258.323026
3.57	0.007223	0.058669	10.434712	-22.539647	-2447.718002	-3306.329986
4.08	0.007219	0.060005	10.433775	-25.096032	-2410.479088	-3326.942149
4.59	0.007194	0.061115	10.434224	-14.999419	-2632.552501	-3317.071932
5.10	0.007230	0.062027	10.434156	7.153188	-3144.071841	-3318.573277
5.61	0.007239	0.062718	10.434839	25.892950	-3559.703516	-3303.548099
6.12	0.007251	0.063213	10.434803	34.525510	-3759.238294	-3304.326691
6.63	0.007217	0.063531	10.433771	25.451531	-3574.161377	-3327.032453
7.14	0.007208	0.063762	10.433810	11.191238	-3245.002117	-3326.181392
7.65	0.007179	0.063913	10.434794	0.062332	-2966.112576	-3304.522092
8.16	0.007188	0.064048	10.434368	6.005434	-3112.759372	-3313.907196
8.67	0.007211	0.064138	10.434082	21.201914	-3469.172006	-3320.198076
9.18	0.007271	0.064198	10.434240	41.869813	-3941.297756	-3316.723737
9.69	0.007267	0.064147	10.433474	53.040006	-4216.098993	-3333.576583
10.20	0.007268	0.064030	10.433593	54.076335	-4237.202081	-3330.950628
10.71	0.007217	0.063865	10.433952	43.963667	-3996.144916	-3323.064686
11.22	0.007184	0.063731	10.434259	37.718760	-3845.310020	-3316.311736
11.73	0.007149	0.063638	10.434147	38.488555	-3865.604557	-3318.767201
12.24	0.007166	0.063632	10.432453	49.011993	-4146.916847	-3356.032801
12.75	0.007192	0.063665	10.431699	56.021221	-4325.656145	-3372.620505
13.26	0.007239	0.063718	10.432002	58.590265	-4377.798019	-3365.946374
13.77	0.007230	0.063735	10.432787	48.976967	-4138.399170	-3348.676849
