Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007168	0.043062	10.502458	-145.121782	1931.912168	-1815.915013
1.02	0.007158	0.046646	10.474552	-123.589423	792.641312	-2429.851486
1.53	0.007178	0.049661	10.456598	-88.539888	-428.273036	-2824.850282
2.04	0.007177	0.052166	10.446474	-52.017552	-1502.497641	-3047.580357
2.55	0.007163	0.054257	10.441679	-27.775927	-2171.113363	-3153.064909
3.06	0.007114	0.056016	10.439625	-15.505271	-2500.948103	-3198.249895
3.57	0.007113	0.057507	10.438535	-18.725672	-2451.956523	-3222.231968
4.08	0.007093	0.058765	10.437233	-21.830787	-2410.499253	-3250.869558
4.59	0.007093	0.059824	10.436736	-10.743028	-2677.192986	-3261.798752
5.10	0.007112	0.060667	10.437122	10.698234	-3161.866162	-3253.311521
5.61	0.007134	0.061314	10.436595	29.134168	-3598.423750	-3264.919306
6.12	0.007139	0.061750	10.435562	35.865553	-3777.183349	-3287.627417
6.63	0.007130	0.062047	10.435457	27.665577	-3590.855396	-3289.947982
7.14	0.007112	0.062223	10.436011	12.435841	-3227.492457	-3277.757426
7.65	0.007105	0.062368	10.435976	2.304697	-2995.086168	-3278.529295
8.16	0.007099	0.062470	10.436004	7.206774	-3107.279477	-3277.908471
8.67	0.007133	0.062572	10.435498	22.575539	-3472.742634	-3289.049557
9.18	0.007170	0.062624	10.435548	40.948514	-3894.526419	-3287.947018
9.69	0.007187	0.062618	10.435579	52.529712	-4160.405324	-3287.263737
10.20	0.007175	0.062532	10.434915	53.582030	-4199.946573	-3301.874940
10.71	0.007131	0.062433	10.434911	46.039327	-4026.396526	-3301.951628
11.22	0.007084	0.062325	10.435731	40.562825	-3881.432220	-3283.925570
11.73	0.007061	0.062278	10.435277	42.781910	-3942.979186	-3293.907617
12.24	0.007061	0.062285	10.433862	52.093052	-4189.957758	-3325.042368
12.75	0.007095	0.062351	10.433538	59.405607	-4365.749831	-3332.158080
13.26	0.007127	0.062411	10.434713	59.967234	-4351.594677	-3306.322879
13.77	0.007130	0.062443	10.435594	52.029222	-4148.546262	-3286.941359
14.28	0.007102	0.062424	10.436500	42.376067	-3905.436980	-3267.007647
14.79	0.007073	0.062396	10.436572	34.277715	-3717.355648	-3265.424132
15.30	0.007043	0.062362	10.435353	30.075533	-3648.720065	-3292.226187
15.81	0.007030	0.062376	10.434329	28.962993	-3646.733626	-3314.761097
16.32	0.007018	0.062407	10.434625	28.797589	-3636.107929	-3308.257224
16.83	0.006994	0.062455	10.435296	26.665972	-3571.567034	-3293.498605
17.34	0.006917	0.062458	10.435830	25.413817	-3530.426616	-3281.750081
17.85	0.006802	0.062436	10.435593	26.945795	-3571.141935	-3286.948586
18.36	0.006664	0.062381	10.435064	30.366448	-3662.080903	-3298.583095
18.87	0.006548	0.062341	10.436122	34.040720	-3722.279177	-3275.324777
19.38	0.006460	0.062302	10.437333	36.691913	-3755.361117	-3248.665395
19.89	0.006417	0.062296	10.437256	41.166695	-3860.165456	-3250.378993
20.40	0.006396	0.062273	10.437037	37.717578	-3785.817013	-3255.195299
20.91	0.006368	0.062235	10.436840	42.647303	-3903.828199	-3259.517060
21.42	0.006329	0.062142	10.437920	46.759317	-3973.576277	-3235.756160
