Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006900	0.043792	10.508931	-163.263169	4559.053726	1956.482683
1.02	0.006943	0.047779	10.489987	-140.338320	3967.645686	1539.707489
1.53	0.006926	0.051184	10.474526	-103.394781	3065.244063	1199.577637
2.04	0.006950	0.054063	10.464190	-64.212525	2128.532468	972.169115
2.55	0.006952	0.056455	10.455768	-39.830966	1538.966027	786.893446
3.06	0.006956	0.058431	10.450327	-31.762947	1334.951195	667.187635
3.57	0.006904	0.060057	10.447760	-39.504201	1504.524217	610.724056
4.08	0.006903	0.061385	10.444540	-41.471457	1538.983986	539.877585
4.59	0.006867	0.062492	10.444492	-28.945182	1250.473215	538.829133
5.10	0.006885	0.063427	10.444793	-4.737311	694.226330	545.438978
5.61	0.006900	0.064210	10.442609	13.888814	258.117883	497.394924
6.12	0.006923	0.064844	10.442603	19.707225	124.158855	497.256219
6.63	0.006906	0.065326	10.442993	8.269107	388.772096	505.840237
7.14	0.006907	0.065679	10.442565	-5.588025	706.320366	496.428494
7.65	0.006877	0.065937	10.442826	-13.568876	890.914330	502.171103
8.16	0.006896	0.066131	10.442392	-5.903305	712.995473	492.616179
8.67	0.006898	0.066267	10.442908	10.612157	334.549986	503.969200
9.18	0.006951	0.066365	10.443361	28.970200	-86.522680	513.937360
9.69	0.006951	0.066385	10.443942	36.549532	-259.041837	526.727834
10.20	0.006950	0.066341	10.444406	36.986046	-267.531248	536.930356
10.71	0.006898	0.066262	10.444265	31.160590	-133.906640	533.819184
11.22	0.006886	0.066186	10.442857	29.278438	-95.313327	502.844144
11.73	0.006849	0.066107	10.442177	31.477731	-148.225470	487.889531
12.24	0.006879	0.066053	10.441568	40.079353	-348.278104	474.498347
12.75	0.006888	0.066006	10.440866	42.731583	-411.692627	459.046826
13.26	0.006926	0.065966	10.440862	41.819540	-390.709319	458.970844
13.77	0.006896	0.065902	10.442687	34.837847	-223.858759	499.115623
14.28	0.006890	0.065859	10.443534	28.726755	-80.337776	517.738799
14.79	0.006851	0.065827	10.443018	22.021112	72.290882	506.397993
15.30	0.006857	0.065833	10.442767	17.331129	179.409052	500.877092
15.81	0.006830	0.065869	10.442346	12.418981	291.067804	491.602481
16.32	0.006827	0.065941	10.442504	11.494785	312.873796	495.079514
16.83	0.006769	0.066003	10.442534	10.077855	345.594522	495.756734
17.34	0.006701	0.066051	10.441442	12.254309	291.820987	471.724240
17.85	0.006580	0.066068	10.442201	15.881079	210.884134	488.413127
18.36	0.006491	0.066076	10.442750	21.171890	90.937855	500.496171
18.87	0.006383	0.066051	10.443026	20.344794	110.905299	506.569160
19.38	0.006313	0.066009	10.443081	20.336111	111.291488	507.788434
19.89	0.006249	0.065946	10.442178	19.692469	123.071823	487.919499
20.40	0.006219	0.065853	10.442714	25.426069	-7.112061	499.709830
20.91	0.006164	0.065732	10.443308	26.390807	-27.324243	512.770548
21.42	0.006142	0.065592	10.442204	35.276645	-235.583754	488.487647
21.93	0.006096	0.065477	10.442079	36.361361	-260.974050	485.735801
22.44	0.006088	0.065382	10.443968	32.308507	-161.327793	527.297880
22.95	0.006052	0.065327	10.444641	28.494411	-71.265092	542.110886
23.46	0.006060	0.065313	10.443316	19.748728	125.602910	512.958736
23.97	0.006047	0.065330	10.443284	22.403426	64.383659	512.245301
24.48	0.006076	0.065366	10.443451	23.350774	43.137726	515.921166
24.99	0.006070	0.065418	10.443372	24.174234	23.917233	514.188813
25.50	0.006085	0.065457	10.443662	26.394982	-26.229801	520.561687
26.02	0.006072	0.065496	10.444255	21.898439	79.273064	533.610860
26.53	0.006079	0.065539	10.443902	17.594530	177.161372	525.848018
27.04	0.006053	0.065587	10.443229	14.818623	238.799209	511.041092
27.55	0.006085	0.065645	10.443477	18.103631	164.013743	516.500851
28.06	0.006078	0.065692	10.443561	17.877724	169.495476	518.342609
28.57	0.006104	0.065714	10.443872	25.690972	-9.317330	525.184614
29.08	0.006088	0.065691	10.444399	24.519058	19.430806	536.774841
29.59	0.006088	0.065638	10.443595	26.267828	-23.528987	519.081296
30.10	0.006060	0.065570	10.442787	23.885989	28.584826	501.311603
30.61	0.006066	0.065498	10.442507	24.436705	14.967703	495.161225
31.12	0.006045	0.065446	10.442240	23.939514	25.515203	489.286649
31.63	0.006068	0.065409	10.442008	29.017917	-92.167693	484.183496
32.14	0.006063	0.065359	10.442115	25.121947	-2.124326	486.535997
32.65	0.006078	0.065325	10.442954	29.286816	-95.179074	504.984798
33.16	0.006058	0.065256	10.443599	25.036819	4.822356	519.172401
33.67	0.006067	0.065245	10.444533	24.960161	9.727054	539.721666
34.18	0.006043	0.065191	10.445074	21.911796	81.719011	551.629888
34.69	0.006062	0.065235	10.445311	24.810090	15.798812	556.849112
35.20	0.006060	0.065224	10.445780	22.481987	70.967284	567.164990
35.71	0.006095	0.065303	10.445543	23.797537	39.886845	561.949774
36.22	0.006090	0.065305	10.445156	22.568042	66.887813	553.431875
36.73	0.006107	0.065380	10.444983	22.891051	58.871232	549.629458
37.24	0.006084	0.065369	10.445319	22.630183	66.004666	557.013643
37.75	0.006093	0.065411	10.445168	25.558844	-1.917503	553.706214
38.26	0.006067	0.065391	10.446078	25.505265	2.373740	573.717578
38.77	0.006088	0.065410	10.445957	27.504804	-44.060456	571.063974
39.28	0.006076	0.065366	10.444544	26.296517	-20.996896	539.973638
39.79	0.006095	0.065353	10.444034	25.445457	-3.121292	528.746980
40.30	0.006074	0.065294	10.444263	23.925020	32.649339	533.790619
40.81	0.006083	0.065274	10.445118	24.699734	17.689805	552.599442
41.32	0.006060	0.065235	10.445966	24.410828	27.191401	571.257654
41.83	0.006069	0.065245	10.446821	26.058001	-7.852985	590.058975
42.34	0.006053	0.065244	10.446311	25.053146	13.565802	578.851208
42.85	0.006077	0.065271	10.446299	25.097187	12.511526	578.586283
43.36	0.006066	0.065276	10.446834	22.337561	77.833700	590.343205
43.87	0.006092	0.065291	10.445779	22.440528	71.917145	567.135524
44.38	0.006064	0.065285	10.444938	22.475527	68.283980	548.631696
44.89	0.006078	0.065275	10.445482	25.135764	8.877283	560.614439
45.40	0.006060	0.065243	10.445912	25.552235	0.733842	570.061662
45.91	0.006074	0.065218	10.445941	27.390517	-41.484880	570.702343
46.42	0.006064	0.065188	10.445959	25.646706	-1.281474	571.104532
46.93	0.006084	0.065188	10.445875	25.163006	9.570526	569.255176
47.44	0.006061	0.065206	10.445905	23.274196	53.149480	569.904318
47.95	0.006072	0.065240	10.446478	25.047777	14.249533	582.516790
48.46	0.006049	0.065278	10.446736	25.580919	2.844251	588.193771
48.97	0.006056	0.065305	10.448054	27.763400	-42.963936	617.196411
49.48	0.006038	0.065315	10.453821	27.536267	-18.348101	744.071457
49.99	0.006055	0.065284	10.472796	28.800181	16.344643	1161.512431
50.50	0.006044	0.065186	10.505690	28.382002	136.551299	1885.175686
51.01	0.006061	0.064957	10.533425	30.233344	187.173058	2495.353497
51.53	0.006048	0.064533	10.555588	31.575077	230.791927	2982.932219
52.04	0.006071	0.063897	10.562096	34.613507	182.727418	3126.114165
52.55	0.006051	0.063081	10.565694	34.916699	187.843907	3205.272336
53.06	0.006066	0.062144	10.566796	35.619374	175.371865	3229.507541
53.57	0.006048	0.061155	10.567951	33.758171	222.100594	3254.928528
54.08	0.006061	0.060179	10.568889	31.567088	275.690445	3275.555011
54.59	0.006046	0.059254	10.569466	27.637503	368.086942	3288.243066
55.10	0.006062	0.058418	10.570159	25.668807	415.737709	3303.504509
55.61	0.006047	0.057688	10.570167	22.416921	490.621400	3303.677269
56.12	0.006064	0.057079	10.570133	21.323528	515.675488	3302.921712
56.63	0.006040	0.056584	10.570430	18.659682	577.996454	3309.466924
57.14	0.006055	0.056204	10.570031	18.335994	584.106084	3300.687367
57.65	0.006034	0.055917	10.569725	16.088093	634.824055	3293.960338
58.16	0.006053	0.055709	10.569874	15.504879	648.749797	3297.234813
58.67	0.006038	0.055545	10.569998	12.794677	711.553484	3299.955655
59.18	0.006054	0.055424	10.570546	12.395108	722.594203	3312.015188
59.69	0.006039	0.055319	10.570555	10.835962	758.516013	3312.216730
60.20	0.006045	0.055245	10.570397	11.143887	750.895714	3308.735429
60.71	0.006030	0.055179	10.570447	10.331529	769.764367	3309.837862
61.22	0.006044	0.055145	10.570504	11.579704	741.222276	3311.084341
61.73	0.006025	0.055120	10.570740	9.591231	787.789114	3316.272995
62.24	0.006040	0.055107	10.571079	9.929874	781.135931	3323.748284
62.75	0.006020	0.055090	10.571370	8.325214	819.052335	3330.146456
63.26	0.006033	0.055083	10.571023	9.171871	798.394585	3322.502816
63.77	0.006020	0.055079	10.570366	9.137638	796.974626	3308.053134
64.28	0.006049	0.055087	10.571018	10.838550	760.010991	3322.390207
64.79	0.006108	0.055100	10.570900	10.566889	765.867810	3319.793864
65.30	0.006334	0.055131	10.570320	11.935531	732.414112	3307.045561
65.81	0.006796	0.055171	10.570872	10.906013	757.969664	3319.194251
66.32	0.007660	0.055207	10.571246	11.422412	747.337539	3327.408656
66.83	0.008844	0.055220	10.571510	10.634164	766.371575	3333.225322
67.34	0.010164	0.055213	10.571196	11.736999	739.927746	3326.308516
67.85	0.011194	0.055182	10.571045	10.992874	756.548511	3322.979195
68.36	0.011715	0.055149	10.571094	12.185296	729.266670	3324.074051
68.87	0.011619	0.055111	10.570942	10.856460	759.343555	3320.720350
69.38	0.011105	0.055079	10.571771	10.758146	764.392489	3338.951146
69.89	0.010390	0.055049	10.571679	8.546209	815.003666	3336.942959
70.40	0.009805	0.055027	10.571455	8.703927	810.620434	3332.017702
70.91	0.009554	0.055005	10.572071	7.601783	838.061934	3345.567690
71.42	0.009764	0.054991	10.572107	8.826024	810.000107	3346.351543
71.93	0.010236	0.054963	10.571581	8.123769	824.396354	3334.772050
72.44	0.010645	0.054944	10.571580	9.517534	792.310404	3334.759293
72.95	0.010577	0.054933	10.571456	8.212432	821.936969	3332.033955
73.46	0.009911	0.054939	10.571158	8.935125	804.297694	3325.469191
73.97	0.008681	0.054967	10.571622	8.037953	826.509920	3335.675905
74.48	0.007176	0.055010	10.572371	9.508778	795.171198	3352.161950
74.99	0.005610	0.055048	10.572709	9.259091	802.055152	3359.597738
75.50	0.004220	0.055080	10.572484	10.766393	766.602099	3354.653772
76.01	0.003055	0.055101	10.571873	10.375195	773.551826	3341.201916
76.52	0.002180	0.055117	10.571552	11.416774	748.498097	3334.154179
77.03	0.001504	0.055122	10.571750	10.086996	779.772819	3338.497454
77.55	0.001032	0.055116	10.571847	10.633664	767.515581	3340.636707
78.06	0.000665	0.055087	10.572020	8.980791	806.145082	3344.438451
78.57	0.000416	0.055053	10.572011	10.353852	774.506576	3344.234750
79.08	0.000222	0.055008	10.572736	9.303416	801.125831	3360.193428
79.59	0.000103	0.054990	10.572575	10.197832	779.994442	3356.644889
80.10	0.000002	0.054974	10.572278	9.271465	800.322060	3350.120120
80.61	-0.000045	0.054986	10.572542	9.966439	785.209758	3355.916649
81.12	-0.000097	0.055010	10.571997	8.926891	807.307615	3343.926536
81.63	-0.000112	0.055032	10.572298	10.395103	774.523233	3350.558056
82.14	-0.000142	0.055056	10.572772	9.926615	786.900804	3360.984002
82.65	-0.000139	0.055068	10.572948	11.331296	755.155639	3364.845766
83.16	-0.000157	0.055072	10.572850	10.962340	763.321624	3362.704139
83.67	-0.000145	0.055080	10.572241	12.015230	737.037529	3349.308572
84.18	-0.000159	0.055066	10.572701	10.946120	763.194787	3359.430653
84.69	-0.000140	0.055046	10.572638	11.488476	750.497395	3358.039672
85.20	-0.000148	0.055006	10.571461	10.266864	774.662238	3332.149059
85.71	-0.000119	0.054980	10.572027	10.853319	763.063095	3344.588645
86.22	-0.000120	0.054951	10.572547	9.331661	799.840568	3356.037353
86.73	-0.000111	0.054925	10.572275	10.328368	775.981937	3350.050822
87.24	-0.000154	0.054897	10.572086	9.284806	799.369305	3345.894720
87.75	-0.000188	0.054867	10.571463	10.083393	778.891971	3332.190342
88.26	-0.000276	0.054814	10.572161	9.019892	805.717627	3347.531382
88.77	0.000000	0.054767	10.573047	9.573187	795.961583	3367.037227
89.28	0.000000	0.054798	10.573371	8.886576	812.856716	3374.167766
89.79	-0.000003	0.054922	10.573624	10.537539	775.701283	3379.724923
90.30	-0.000022	0.055064	10.573500	10.419721	777.996294	3376.995161
90.81	-0.000049	0.055120	10.573533	12.176091	737.677554	3377.730109
91.32	-0.000049	0.055082	10.573219	11.073403	762.006088	3370.826183
91.83	-0.000052	0.055033	10.572655	11.950265	739.925426	3358.420982
92.34	-0.000064	0.055001	10.573363	10.650938	772.213729	3373.984688
92.85	-0.000069	0.054996	10.573299	11.489288	752.698793	3372.568493
93.36	-0.000072	0.055002	10.572057	10.600739	768.978334	3345.249272
93.87	-0.000076	0.055018	10.571609	11.611070	744.213990	3335.387994
94.38	-0.000076	0.055033	10.572103	11.342034	752.068435	3346.260098
94.89	-0.000076	0.055012	10.571870	12.060246	734.752975	3341.139407
95.40	-0.000076	0.054942	10.571904	10.796728	763.951539	3341.877629
95.91	-0.000076	0.054872	10.571945	11.490399	748.122350	3342.786518
96.42	-0.000084	0.054837	10.571850	10.373087	773.523520	3340.699107
96.93	-0.000084	0.054853	10.571902	11.640856	744.515064	3341.845384
97.44	-0.000089	0.054896	10.572785	11.144949	758.898307	3361.266281
97.95	-0.000089	0.054933	10.572524	12.151438	734.850961	3355.518395
98.46	-0.000089	0.054931	10.571494	10.430463	771.007416	3332.876658
98.97	-0.000089	0.054910	10.569165	6.980867	842.585021	3281.629223
99.48	-0.000089	0.054905	10.564958	-5.391592	1113.251286	3189.070886
99.99	-0.000089	0.054949	10.558566	-27.762850	1606.741920	3048.447890
100.50	-0.000089	0.055052	10.551156	-62.259772	2375.938339	2885.425028
101.01	-0.000093	0.055168	10.544281	-98.689183	3191.418652	2734.172990
101.52	-0.000107	0.055265	10.538702	-129.426523	3880.227003	2611.437926
102.03	-0.000107	0.055344	10.535094	-148.370450	4304.182715	2532.075888
102.54	-0.000107	0.055414	10.532860	-156.585820	4485.787707	2482.928695
103.06	-0.000107	0.055525	10.531995	-154.720993	4439.950248	2463.886305
103.57	-0.000107	0.055691	10.529536	-145.648970	4222.849237	2409.790725
104.08	-0.000107	0.055895	10.528649	-131.647040	3897.547072	2390.272462
