Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007073	0.040891	10.503941	-152.608860	2110.824719	-1783.304654
1.02	0.007136	0.044566	10.476827	-130.473573	975.954937	-2379.803490
1.53	0.007096	0.047590	10.458257	-94.482207	-280.840544	-2788.348214
2.04	0.007083	0.050104	10.445229	-53.632189	-1521.649952	-3074.954683
2.55	0.006956	0.052146	10.437624	-26.527976	-2320.993098	-3242.282438
3.06	0.006920	0.053921	10.434901	-13.474913	-2684.268761	-3302.186370
3.57	0.006918	0.055403	10.433468	-23.138940	-2494.846214	-3333.703439
4.08	0.006972	0.056697	10.432171	-27.649972	-2420.915295	-3362.236171
4.59	0.007003	0.057720	10.432336	-18.223546	-2634.093737	-3358.597347
5.10	0.007051	0.058536	10.433072	5.204482	-3156.437682	-3342.417930
5.61	0.007018	0.059094	10.433134	24.877692	-3607.884810	-3341.060102
6.12	0.006990	0.059491	10.433195	36.078540	-3864.314079	-3339.714683
6.63	0.006912	0.059743	10.432477	25.812293	-3644.545435	-3355.508357
7.14	0.006914	0.059972	10.432228	10.775539	-3304.146873	-3360.986038
7.65	0.006918	0.060147	10.432301	-2.354361	-3000.205789	-3359.368894
8.16	0.006994	0.060313	10.432366	2.452051	-3109.364046	-3357.953580
8.67	0.007036	0.060395	10.432873	17.505367	-3444.178358	-3346.785387
9.18	0.007089	0.060439	10.433267	39.365305	-3938.306838	-3338.124099
9.69	0.007036	0.060369	10.431888	50.263768	-4220.989722	-3368.462107
10.20	0.006987	0.060299	10.431027	53.198937	-4308.419289	-3387.409505
10.71	0.006897	0.060223	10.431396	45.164915	-4114.958903	-3379.282275
11.22	0.006898	0.060237	10.431827	41.214124	-4014.083825	-3369.810743
11.73	0.006902	0.060261	10.431703	41.549572	-4024.663605	-3372.536882
12.24	0.006982	0.060337	10.431185	50.299392	-4238.028693	-3383.933418
12.75	0.007008	0.060349	10.430871	53.266011	-4313.558097	-3390.838593
13.26	0.007029	0.060329	10.431162	54.471062	-4334.576076	-3384.426547
13.77	0.006957	0.060224	10.431466	47.801233	-4174.043309	-3377.753425
14.28	0.006915	0.060146	10.431799	42.838962	-4052.124008	-3370.418346
14.79	0.006856	0.060094	10.431841	34.291274	-3854.390095	-3369.493963
