Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006990	0.039627	10.503407	-150.715943	2034.222660	-1795.047293
1.02	0.007103	0.043110	10.475318	-128.374313	872.115796	-2412.996720
1.53	0.007076	0.046097	10.455471	-91.044253	-444.955742	-2849.643264
2.04	0.007114	0.048534	10.443670	-52.268638	-1609.722349	-3109.263044
2.55	0.007091	0.050555	10.436604	-26.797882	-2359.018547	-3264.719160
3.06	0.007016	0.052178	10.431974	-17.510657	-2679.580680	-3366.570825
3.57	0.006966	0.053579	10.430283	-21.187595	-2633.943393	-3403.777491
4.08	0.006928	0.054716	10.430129	-25.232867	-2544.371082	-3407.162385
4.59	0.006937	0.055725	10.429194	-13.799512	-2829.115342	-3427.721277
5.10	0.006953	0.056507	10.429894	7.276048	-3298.146070	-3412.342937
5.61	0.007001	0.057150	10.430315	26.911016	-3740.418353	-3403.072932
6.12	0.007004	0.057549	10.429866	32.287902	-3874.540133	-3412.943648
6.63	0.006994	0.057823	10.429733	25.274757	-3716.167492	-3415.869803
7.14	0.006953	0.057942	10.429560	9.856420	-3365.235066	-3419.678191
7.65	0.006939	0.058064	10.429578	-0.771846	-3120.167758	-3419.288762
8.16	0.006927	0.058145	10.429937	2.767591	-3193.369815	-3411.395611
8.67	0.006972	0.058289	10.430242	19.957774	-3582.033717	-3404.672263
9.18	0.007038	0.058380	10.429616	38.868475	-4031.785305	-3418.440667
9.69	0.007073	0.058456	10.428305	52.111446	-4366.888568	-3447.300668
10.20	0.007052	0.058383	10.427835	52.075940	-4376.892181	-3457.622836
10.71	0.007010	0.058304	10.428860	45.073715	-4192.063023	-3435.072202
11.22	0.006937	0.058172	10.429383	38.590028	-4030.748122	-3423.565582
11.73	0.006908	0.058120	10.429231	42.376503	-4121.430600	-3426.922496
12.24	0.006904	0.058078	10.428418	51.683830	-4354.428769	-3444.805050
12.75	0.006957	0.058126	10.427309	58.580311	-4538.750476	-3469.193596
13.26	0.006996	0.058107	10.427547	55.959348	-4472.942533	-3463.971660
